Name,Last_Name,State,Party,Chamber,Years Served
"Napolitano, Grace F. ",Napolitano,California,Democratic,House,1999-Present
"Neal, Richard E. ",Neal,Massachusetts,Democratic,House,1989-Present
"Neguse, Joe ",Neguse,Colorado,Democratic,House,2019-Present
"Nehls, Troy E. ",Nehls,Texas,Republican,House,2021-Present
"Nelson, Bill ",Nelson,Florida,Democratic,Senate,2001-2019
"Neugebauer, Randy ",Neugebauer,Texas,Republican,House,2003-2017
"Newhouse, Dan ",Newhouse,Washington,Republican,House,2015-Present
"Newman, Marie ",Newman,Illinois,Democratic,House,2021-2023
"Nickel, Wiley ",Nickel,North Carolina,Democratic,House,2023-Present
"Noem, Kristi L. ",Noem,South Dakota,Republican,House,2011-2019
"Nolan, Richard M. ",Nolan,Minnesota,Democratic,House,"1975-1981, 2013-2019"
"Norcross, Donald ",Norcross,New Jersey,Democratic,House,2014-Present
"Norman, Ralph ",Norman,South Carolina,Republican,House,2017-Present
"Norton, Eleanor Holmes - Delegate",Norton,District of Columbia,Democratic,House,1991-Present
"Nugent, Richard B. ",Nugent,Florida,Republican,House,2011-2017
"Nunes, Devin ",Nunes,California,Republican,House,2003-2022
"Nunn, Zachary ",Nunn,Iowa,Republican,House,2023-Present
"Nunnelee, Alan ",Nunnelee,Mississippi,Republican,House,2011-2015
"O'Halleran, Tom ",O'Halleran,Arizona,Democratic,House,2017-2023
"O'Rourke, Beto ",O'Rourke,Texas,Democratic,House,2013-2019
"Obernolte, Jay ",Obernolte,California,Republican,House,2021-Present
"Ocasio-Cortez, Alexandria ",Ocasio-Cortez,New York,Democratic,House,2019-Present
"Ogles, Andrew ",Ogles,Tennessee,Republican,House,2023-Present
"Olson, Pete ",Olson,Texas,Republican,House,2009-2021
"Omar, Ilhan ",Omar,Minnesota,Democratic,House,2019-Present
"Ossoff, Jon ",Ossoff,Georgia,Democratic,Senate,2021-Present
"Owens, Burgess ",Owens,Utah,Republican,House,2021-Present
"Padilla, Alex ",Padilla,California,Democratic,Senate,2021-Present
"Palazzo, Steven M. ",Palazzo,Mississippi,Republican,House,2011-2023
"Pallone, Frank ",Pallone,New Jersey,Democratic,House,1987-Present
"Palmer, Gary J. ",Palmer,Alabama,Republican,House,2015-Present
"Panetta, Jimmy ",Panetta,California,Democratic,House,2017-Present
"Pappas, Chris ",Pappas,New Hampshire,Democratic,House,2019-Present
"Pascrell, Bill ",Pascrell,New Jersey,Democratic,House,1997-2024
"Paul, Rand ",Paul,Kentucky,Republican,Senate,2011-Present
"Paulsen, Erik ",Paulsen,Minnesota,Republican,House,2009-2019
"Payne, Donald M. ",Payne,New Jersey,Democratic,House,2012-2024
"Pearce, Stevan ",Pearce,New Mexico,Republican,House,"2003-2009, 2011-2019"
"Pelosi, Nancy ",Pelosi,California,Democratic,House,1987-Present
"Peltola, Mary Sattler ",Peltola,Alaska,Democratic,House,2022-Present
"Pence, Greg ",Pence,Indiana,Republican,House,2019-Present
"Perdue, David ",Perdue,Georgia,Republican,Senate,2015-2021
"Perez, Marie Gluesenkamp ",Perez,Washington,Democratic,House,2023-Present
"Perlmutter, Ed ",Perlmutter,Colorado,Democratic,House,2007-2023
"Perry, Scott ",Perry,Pennsylvania,Republican,House,2013-Present
"Peters, Gary C. ",Peters,Michigan,Democratic,Senate,2015-Present
"Peters, Scott H. ",Peters,California,Democratic,House,2013-Present
"Peterson, Collin C. ",Peterson,Minnesota,Democratic,House,1991-2021
"Pettersen, Brittany ",Pettersen,Colorado,Democratic,House,2023-Present
"Pfluger, August ",Pfluger,Texas,Republican,House,2021-Present
"Phillips, Dean ",Phillips,Minnesota,Democratic,House,2019-Present
"Pierluisi, Pedro R. - Resident Commissioner",Pierluisi,Puerto Rico,Democratic,House,2009-2017
"Pingree, Chellie ",Pingree,Maine,Democratic,House,2009-Present
"Pittenger, Robert ",Pittenger,North Carolina,Republican,House,2013-2019
"Pitts, Joseph R. ",Pitts,Pennsylvania,Republican,House,1997-2017
"Plaskett, Stacey E. - Delegate",Plaskett,Virgin Islands,Democratic,House,2015-Present
"Pocan, Mark ",Pocan,Wisconsin,Democratic,House,2013-Present
"Poe, Ted ",Poe,Texas,Republican,House,2005-2019
"Poliquin, Bruce ",Poliquin,Maine,Republican,House,2015-2019
"Polis, Jared ",Polis,Colorado,Democratic,House,2009-2019
"Pompeo, Mike ",Pompeo,Kansas,Republican,House,2011-2017
"Porter, Katie ",Porter,California,Democratic,House,2019-Present
"Portman, Rob ",Portman,Ohio,Republican,Senate,2011-2023
"Posey, Bill ",Posey,Florida,Republican,House,2009-Present
"Pressley, Ayanna ",Pressley,Massachusetts,Democratic,House,2019-Present
"Price, David E. ",Price,North Carolina,Democratic,House,"1987-1995, 1997-2023"
"Price, Tom ",Price,Georgia,Republican,House,2005-2017
"Quigley, Mike ",Quigley,Illinois,Democratic,House,2009-Present
"Radewagen, Aumua Amata Coleman - Delegate",Radewagen,American Samoa,Republican,House,2015-Present
"Ramirez, Delia C. ",Ramirez,Illinois,Democratic,House,2023-Present
"Rangel, Charles B. ",Rangel,New York,Democratic,House,1971-2017
"Raskin, Jamie ",Raskin,Maryland,Democratic,House,2017-Present
"Ratcliffe, John ",Ratcliffe,Texas,Republican,House,2015-2020
"Reed, Jack ",Reed,Rhode Island,Democratic,Senate,1997-Present
"Reed, Tom ",Reed,New York,Republican,House,2010-2022
"Reichert, David G. ",Reichert,Washington,Republican,House,2005-2019
"Reid, Harry ",Reid,Nevada,Democratic,Senate,1987-2017
"Renacci, James B. ",Renacci,Ohio,Republican,House,2011-2019
"Reschenthaler, Guy ",Reschenthaler,Pennsylvania,Republican,House,2019-Present
"Ribble, Reid J. ",Ribble,Wisconsin,Republican,House,2011-2017
"Rice, Kathleen M. ",Rice,New York,Democratic,House,2015-2023
"Rice, Tom ",Rice,South Carolina,Republican,House,2013-2023
"Richmond, Cedric L. ",Richmond,Louisiana,Democratic,House,2011-2021
"Ricketts, Pete ",Ricketts,Nebraska,Republican,Senate,2023-Present
"Rigell, E. Scott ",Rigell,Virginia,Republican,House,2011-2017
"Riggleman, Denver ",Riggleman,Virginia,Republican,House,2019-2021
"Risch, James E. ",Risch,Idaho,Republican,Senate,2009-Present
"Roberts, Pat ",Roberts,Kansas,Republican,Senate,1997-2021
"Roby, Martha ",Roby,Alabama,Republican,House,2011-2021
"Roe, David P. ",Roe,Tennessee,Republican,House,2009-2021
"Rogers, Harold ",Rogers,Kentucky,Republican,House,1981-Present
"Rogers, Mike D. ",Rogers,Alabama,Republican,House,2003-Present
"Rohrabacher, Dana ",Rohrabacher,California,Republican,House,1989-2019
"Rokita, Todd ",Rokita,Indiana,Republican,House,2011-2019
"Romney, Mitt ",Romney,Utah,Republican,Senate,2019-Present
"Rooney, Francis ",Rooney,Florida,Republican,House,2017-2021
"Rooney, Thomas J. ",Rooney,Florida,Republican,House,2009-2019
"Ros-Lehtinen, Ileana ",Ros-Lehtinen,Florida,Republican,House,1989-2019
"Rose, John W. ",Rose,Tennessee,Republican,House,2019-Present
"Rose, Max ",Rose,New York,Democratic,House,2019-2021
"Rosen, Jacky ",Rosen,Nevada,Democratic,Senate,2019-Present
"Rosendale, Matthew M. ",Rosendale,Montana,Republican,House,2021-Present
"Roskam, Peter J. ",Roskam,Illinois,Republican,House,2007-2019
"Ross, Deborah K. ",Ross,North Carolina,Democratic,House,2021-Present
"Ross, Dennis A. ",Ross,Florida,Republican,House,2011-2019
"Rothfus, Keith J. ",Rothfus,Pennsylvania,Republican,House,2013-2019
"Rouda, Harley ",Rouda,California,Democratic,House,2019-2021
"Rounds, Mike ",Rounds,South Dakota,Republican,Senate,2015-Present
"Rouzer, David ",Rouzer,North Carolina,Republican,House,2015-Present
"Roy, Chip ",Roy,Texas,Republican,House,2019-Present
"Roybal-Allard, Lucille ",Roybal-Allard,California,Democratic,House,1993-2023
"Royce, Edward R. ",Royce,California,Republican,House,1993-2019
"Rubio, Marco ",Rubio,Florida,Republican,Senate,2011-Present
"Ruiz, Raul ",Ruiz,California,Democratic,House,2013-Present
"Rulli, Michael A. ",Rulli,Ohio,Republican,House,2024-Present
"Ruppersberger, C. A. Dutch ",Ruppersberger,Maryland,Democratic,House,2003-Present
"Rush, Bobby L. ",Rush,Illinois,Democratic,House,1993-2023
"Russell, Steve ",Russell,Oklahoma,Republican,House,2015-2019
"Rutherford, John H. ",Rutherford,Florida,Republican,House,2017-Present
"Ryan, Patrick ",Ryan,New York,Democratic,House,2022-Present
"Ryan, Paul D. ",Ryan,Wisconsin,Republican,House,1999-2019
"Ryan, Tim ",Ryan,Ohio,Democratic,House,2003-2023
"Sablan, Gregorio Kilili Camacho - Delegate",Sablan,Northern Mariana Islands,Democratic,House,2009-Present
"Salazar, Maria Elvira ",Salazar,Florida,Republican,House,2021-Present
"Salinas, Andrea ",Salinas,Oregon,Democratic,House,2023-Present
"Salmon, Matt ",Salmon,Arizona,Republican,House,"1995-2001, 2013-2017"
"San Nicolas, Michael F. Q. - Delegate",San Nicolas,Guam,Democratic,House,2019-2023
"Sánchez, Linda T. ",Sánchez,California,Democratic,House,2003-Present
"Sanchez, Loretta ",Sanchez,California,Democratic,House,1997-2017
"Sanders, Bernard ",Sanders,Vermont,Independent,Senate,2007-Present
"Sanford, Mark ",Sanford,South Carolina,Republican,House,"1995-2001, 2013-2019"
"Santos, George ",Santos,New York,Republican,House,2023
"Sarbanes, John P. ",Sarbanes,Maryland,Democratic,House,2007-Present
"Sasse, Ben ",Sasse,Nebraska,Republican,Senate,2015-2023
"Scalise, Steve ",Scalise,Louisiana,Republican,House,2008-Present
"Scanlon, Mary Gay ",Scanlon,Pennsylvania,Democratic,House,2018-Present
"Schakowsky, Janice D. ",Schakowsky,Illinois,Democratic,House,1999-Present
"Schatz, Brian ",Schatz,Hawaii,Democratic,Senate,2012-Present
"Schiff, Adam B. ",Schiff,California,Democratic,House,2001-Present
"Schmitt, Eric ",Schmitt,Missouri,Republican,Senate,2023-Present
"Schneider, Bradley Scott ",Schneider,Illinois,Democratic,House,"2013-2015, 2017-Present"
"Schock, Aaron ",Schock,Illinois,Republican,House,2009-2015
"Scholten, Hillary J. ",Scholten,Michigan,Democratic,House,2023-Present
"Schrader, Kurt ",Schrader,Oregon,Democratic,House,2009-2023
"Schrier, Kim ",Schrier,Washington,Democratic,House,2019-Present
"Schumer, Charles E. ",Schumer,New York,Democratic,Senate,1999-Present
"Schweikert, David ",Schweikert,Arizona,Republican,House,2011-Present
"Scott, Austin ",Scott,Georgia,Republican,House,2011-Present
"Scott, David ",Scott,Georgia,Democratic,House,2003-Present
"Scott, Rick ",Scott,Florida,Republican,Senate,2019-Present
"Scott, Robert C. ""Bobby"" ",Scott,Virginia,Democratic,House,1993-Present
"Scott, Tim ",Scott,South Carolina,Republican,Senate,2013-Present
"Self, Keith ",Self,Texas,Republican,House,2023-Present
"Sempolinski, Joseph ",Sempolinski,New York,Republican,House,2022-2023
"Sensenbrenner, F. James, Jr. ",Sensenbrenner,Wisconsin,Republican,House,1979-2021
"Serrano, Jose E. ",Serrano,New York,Democratic,House,1989-2021
"Sessions, Jeff ",Sessions,Alabama,Republican,Senate,1997-2017
"Sessions, Pete ",Sessions,Texas,Republican,House,"1997-2019, 2021-Present"
"Sewell, Terri A. ",Sewell,Alabama,Democratic,House,2011-Present
"Shaheen, Jeanne ",Shaheen,New Hampshire,Democratic,Senate,2009-Present
"Shalala, Donna E. ",Shalala,Florida,Democratic,House,2019-2021
"Shea-Porter, Carol ",Shea-Porter,New Hampshire,Democratic,House,"2007-2011, 2013-2015, 2017-2019"
"Shelby, Richard C. ",Shelby,Alabama,Republican,Senate,1987-2023
"Sherman, Brad ",Sherman,California,Democratic,House,1997-Present
"Sherrill, Mikie ",Sherrill,New Jersey,Democratic,House,2019-Present
"Shimkus, John ",Shimkus,Illinois,Republican,House,1997-2021
"Shuster, Bill ",Shuster,Pennsylvania,Republican,House,2001-2019
"Simpson, Michael K. ",Simpson,Idaho,Republican,House,1999-Present
"Sinema, Kyrsten ",Sinema,Arizona,Independent,Senate,2019-Present
"Sires, Albio ",Sires,New Jersey,Democratic,House,2005-2023
"Slaughter, Louise McIntosh ",Slaughter,New York,Democratic,House,1987-2018
"Slotkin, Elissa ",Slotkin,Michigan,Democratic,House,2019-Present
"Smith, Adam ",Smith,Washington,Democratic,House,1997-Present
"Smith, Adrian ",Smith,Nebraska,Republican,House,2007-Present
"Smith, Christopher H. ",Smith,New Jersey,Republican,House,1981-Present
"Smith, Jason ",Smith,Missouri,Republican,House,2013-Present
"Smith, Lamar ",Smith,Texas,Republican,House,1987-2019
"Smith, Tina ",Smith,Minnesota,Democratic,Senate,2018-Present
"Smucker, Lloyd ",Smucker,Pennsylvania,Republican,House,2017-Present
"Sorensen, Eric ",Sorensen,Illinois,Democratic,House,2023-Present
"Soto, Darren ",Soto,Florida,Democratic,House,2017-Present
"Spanberger, Abigail Davis ",Spanberger,Virginia,Democratic,House,2019-Present
"Spano, Ross ",Spano,Florida,Republican,House,2019-2021
"Spartz, Victoria ",Spartz,Indiana,Republican,House,2021-Present
"Speier, Jackie ",Speier,California,Democratic,House,2008-2023
"Stabenow, Debbie ",Stabenow,Michigan,Democratic,Senate,2001-Present
"Stansbury, Melanie A. ",Stansbury,New Mexico,Democratic,House,2021-Present
"Stanton, Greg ",Stanton,Arizona,Democratic,House,2019-Present
"Stauber, Pete ",Stauber,Minnesota,Republican,House,2019-Present
"Steel, Michelle ",Steel,California,Republican,House,2021-Present
"Stefanik, Elise M. ",Stefanik,New York,Republican,House,2015-Present
"Steil, Bryan ",Steil,Wisconsin,Republican,House,2019-Present
"Steube, W. Gregory ",Steube,Florida,Republican,House,2019-Present
"Stevens, Haley M. ",Stevens,Michigan,Democratic,House,2019-Present
"Stewart, Chris ",Stewart,Utah,Republican,House,2013-2023
"Stivers, Steve ",Stivers,Ohio,Republican,House,2011-2021
"Strange, Luther ",Strange,Alabama,Republican,Senate,2017-2018
"Strickland, Marilyn ",Strickland,Washington,Democratic,House,2021-Present
"Strong, Dale W. ",Strong,Alabama,Republican,House,2023-Present
"Stutzman, Marlin A. ",Stutzman,Indiana,Republican,House,2010-2017
"Sullivan, Dan ",Sullivan,Alaska,Republican,Senate,2015-Present
"Suozzi, Thomas R. ",Suozzi,New York,Democratic,House,2017-Present
"Swalwell, Eric ",Swalwell,California,Democratic,House,2013-Present
"Sykes, Emilia Strong ",Sykes,Ohio,Democratic,House,2023-Present
"Takai, Mark ",Takai,Hawaii,Democratic,House,2015-2016
"Takano, Mark ",Takano,California,Democratic,House,2013-Present
"Taylor, Scott ",Taylor,Virginia,Republican,House,2017-2019
"Taylor, Van ",Taylor,Texas,Republican,House,2019-2023
"Tenney, Claudia ",Tenney,New York,Republican,House,"2017-2019, 2021-Present"
"Tester, Jon ",Tester,Montana,Democratic,Senate,2007-Present
"Thanedar, Shri ",Thanedar,Michigan,Democratic,House,2023-Present
"Thompson, Bennie G. ",Thompson,Mississippi,Democratic,House,1993-Present
"Thompson, Glenn ",Thompson,Pennsylvania,Republican,House,2009-Present
"Thompson, Mike ",Thompson,California,Democratic,House,1999-Present
"Thornberry, Mac ",Thornberry,Texas,Republican,House,1995-2021
"Thune, John ",Thune,South Dakota,Republican,Senate,2005-Present
"Tiberi, Patrick J. ",Tiberi,Ohio,Republican,House,2001-2018
"Tiffany, Thomas P. ",Tiffany,Wisconsin,Republican,House,2020-Present
"Tillis, Thomas ",Tillis,North Carolina,Republican,Senate,2015-Present
"Timmons, William R. ",Timmons,South Carolina,Republican,House,2019-Present
"Tipton, Scott R. ",Tipton,Colorado,Republican,House,2011-2021
"Titus, Dina ",Titus,Nevada,Democratic,House,"2009-2011, 2013-Present"
"Tlaib, Rashida ",Tlaib,Michigan,Democratic,House,2019-Present
"Tokuda, Jill N. ",Tokuda,Hawaii,Democratic,House,2023-Present
"Tonko, Paul ",Tonko,New York,Democratic,House,2009-Present
"Toomey, Patrick ",Toomey,Pennsylvania,Republican,Senate,2011-2023
"Torres Small, Xochitl ",Torres Small,New Mexico,Democratic,House,2019-2021
"Torres, Norma J. ",Torres,California,Democratic,House,2015-Present
"Torres, Ritchie ",Torres,New York,Democratic,House,2021-Present
"Trahan, Lori ",Trahan,Massachusetts,Democratic,House,2019-Present
"Trone, David J. ",Trone,Maryland,Democratic,House,2019-Present
"Trott, David A. ",Trott,Michigan,Republican,House,2015-2019
"Tsongas, Niki ",Tsongas,Massachusetts,Democratic,House,2007-2019
"Tuberville, Tommy ",Tuberville,Alabama,Republican,Senate,2021-Present
"Turner, Michael R. ",Turner,Ohio,Republican,House,2003-Present
"Udall, Tom ",Udall,New Mexico,Democratic,Senate,2009-2021
"Underwood, Lauren ",Underwood,Illinois,Democratic,House,2019-Present
"Upton, Fred ",Upton,Michigan,Republican,House,1987-2023
"Valadao, David G. ",Valadao,California,Republican,House,"2013-2019, 2021-Present"
"Van Drew, Jefferson ",Van Drew,New Jersey,Republican,House,2019-Present
"Van Duyne, Beth ",Van Duyne,Texas,Republican,House,2021-Present
"Van Hollen, Chris ",Van Hollen,Maryland,Democratic,Senate,2017-Present
"Van Orden, Derrick ",Van Orden,Wisconsin,Republican,House,2023-Present
"Vance, J. D. ",Vance,Ohio,Republican,Senate,2023-Present
"Vargas, Juan ",Vargas,California,Democratic,House,2013-Present
"Vasquez, Gabe ",Vasquez,New Mexico,Democratic,House,2023-Present
"Veasey, Marc A. ",Veasey,Texas,Democratic,House,2013-Present
"Vela, Filemon ",Vela,Texas,Democratic,House,2013-2022
"Velázquez, Nydia M. ",Velázquez,New York,Democratic,House,1993-Present
"Visclosky, Peter J. ",Visclosky,Indiana,Democratic,House,1985-2021
"Vitter, David ",Vitter,Louisiana,Republican,Senate,2005-2017
"Wagner, Ann ",Wagner,Missouri,Republican,House,2013-Present
"Walberg, Tim ",Walberg,Michigan,Republican,House,"2007-2009, 2011-Present"
"Walden, Greg ",Walden,Oregon,Republican,House,1999-2021
"Walker, Mark ",Walker,North Carolina,Republican,House,2015-2021
"Walorski, Jackie ",Walorski,Indiana,Republican,House,2013-2022
"Walters, Mimi ",Walters,California,Republican,House,2015-2019
"Waltz, Michael ",Waltz,Florida,Republican,House,2019-Present
"Walz, Timothy J. ",Walz,Minnesota,Democratic,House,2007-2019
"Warner, Mark R. ",Warner,Virginia,Democratic,Senate,2009-Present
"Warnock, Raphael G. ",Warnock,Georgia,Democratic,Senate,2021-Present
"Warren, Elizabeth ",Warren,Massachusetts,Democratic,Senate,2013-Present
"Wasserman Schultz, Debbie ",Wasserman Schultz,Florida,Democratic,House,2005-Present
"Waters, Maxine ",Waters,California,Democratic,House,1991-Present
"Watkins, Steve ",Watkins,Kansas,Republican,House,2019-2021
"Watson Coleman, Bonnie ",Watson Coleman,New Jersey,Democratic,House,2015-Present
"Weber, Randy K. ",Weber,Texas,Republican,House,2013-Present
"Webster, Daniel ",Webster,Florida,Republican,House,2011-Present
"Welch, Peter ",Welch,Vermont,Democratic,Senate,2023-Present
"Wenstrup, Brad R. ",Wenstrup,Ohio,Republican,House,2013-Present
"Westerman, Bruce ",Westerman,Arkansas,Republican,House,2015-Present
"Westmoreland, Lynn A. ",Westmoreland,Georgia,Republican,House,2005-2017
"Wexton, Jennifer ",Wexton,Virginia,Democratic,House,2019-Present
"Whitehouse, Sheldon ",Whitehouse,Rhode Island,Democratic,Senate,2007-Present
"Whitfield, Ed ",Whitfield,Kentucky,Republican,House,1995-2016
"Wicker, Roger F. ",Wicker,Mississippi,Republican,Senate,2007-Present
"Wild, Susan ",Wild,Pennsylvania,Democratic,House,2018-Present
"Williams, Brandon ",Williams,New York,Republican,House,2023-Present
"Williams, Nikema ",Williams,Georgia,Democratic,House,2021-Present
"Williams, Roger ",Williams,Texas,Republican,House,2013-Present
"Wilson, Frederica S. ",Wilson,Florida,Democratic,House,2011-Present
"Wilson, Joe ",Wilson,South Carolina,Republican,House,2001-Present
"Wittman, Robert J. ",Wittman,Virginia,Republican,House,2007-Present
"Womack, Steve ",Womack,Arkansas,Republican,House,2011-Present
"Woodall, Rob ",Woodall,Georgia,Republican,House,2011-2021
"Wright, Ron ",Wright,Texas,Republican,House,2019-2021
"Wyden, Ron ",Wyden,Oregon,Democratic,Senate,1996-Present
"Yakym, Rudy ",Yakym,Indiana,Republican,House,2022-Present
"Yarmuth, John A. ",Yarmuth,Kentucky,Democratic,House,2007-2023
"Yoder, Kevin ",Yoder,Kansas,Republican,House,2011-2019
"Yoho, Ted S. ",Yoho,Florida,Republican,House,2013-2021
"Young, David ",Young,Iowa,Republican,House,2015-2019
"Young, Don ",Young,Alaska,Republican,House,1973-2022
"Young, Todd ",Young,Indiana,Republican,Senate,2017-Present
"Zeldin, Lee M. ",Zeldin,New York,Republican,House,2015-2023
"Zinke, Ryan K. ",Zinke,Montana,Republican,House,"2015-2017, 2023-Present"
